Date, Open, High, Low, Close
03/18/25, 23.13, 23.13, 23.13, 23.13
03/17/25, 23.11, 23.11, 23.11, 23.11
03/14/25, 23.09, 23.09, 23.09, 23.09
03/13/25, 23.16, 23.16, 23.16, 23.16
03/12/25, 23.12, 23.12, 23.12, 23.12
03/11/25, 23.15, 23.15, 23.15, 23.15
03/10/25, 23.21, 23.21, 23.21, 23.21
03/07/25, 23.09, 23.09, 23.09, 23.09
03/06/25, 23.13, 23.13, 23.13, 23.13
03/05/25, 23.15, 23.15, 23.15, 23.15
03/04/25, 23.28, 23.28, 23.28, 23.28
03/03/25, 23.36, 23.36, 23.36, 23.36
02/28/25, 23.30, 23.30, 23.30, 23.30
02/27/25, 23.14, 23.14, 23.14, 23.14
02/26/25, 23.17, 23.17, 23.17, 23.17
02/25/25, 23.14, 23.14, 23.14, 23.14
02/24/25, 23.05, 23.05, 23.05, 23.05
02/21/25, 22.99, 22.99, 22.99, 22.99
02/20/25, 22.94, 22.94, 22.94, 22.94
02/19/25, 22.89, 22.89, 22.89, 22.89
02/18/25, 22.86, 22.86, 22.86, 22.86
02/14/25, 22.93, 22.93, 22.93, 22.93
02/13/25, 22.87, 22.87, 22.87, 22.87
02/12/25, 22.76, 22.76, 22.76, 22.76
02/11/25, 22.89, 22.89, 22.89, 22.89
02/10/25, 22.90, 22.90, 22.90, 22.90
02/07/25, 22.89, 22.89, 22.89, 22.89
02/06/25, 22.95, 22.95, 22.95, 22.95
02/05/25, 22.99, 22.99, 22.99, 22.99
02/04/25, 22.89, 22.89, 22.89, 22.89
02/03/25, 22.86, 22.86, 22.86, 22.86
01/31/25, 22.80, 22.80, 22.80, 22.80
01/30/25, 22.78, 22.78, 22.78, 22.78
01/29/25, 22.76, 22.76, 22.76, 22.76
01/28/25, 22.79, 22.79, 22.79, 22.79
01/27/25, 22.78, 22.78, 22.78, 22.78
01/24/25, 22.67, 22.67, 22.67, 22.67
01/23/25, 22.63, 22.63, 22.63, 22.63
01/22/25, 22.61, 22.61, 22.61, 22.61
01/21/25, 22.64, 22.64, 22.64, 22.64
01/17/25, 22.62, 22.62, 22.62, 22.62
01/16/25, 22.62, 22.62, 22.62, 22.62
01/15/25, 22.58, 22.58, 22.58, 22.58
01/14/25, 22.42, 22.42, 22.42, 22.42
01/13/25, 22.42, 22.42, 22.42, 22.42
01/10/25, 22.41, 22.41, 22.41, 22.41
01/08/25, 22.50, 22.50, 22.50, 22.50
01/07/25, 22.45, 22.45, 22.45, 22.45
01/06/25, 22.48, 22.48, 22.48, 22.48
01/03/25, 22.48, 22.48, 22.48, 22.48
01/02/25, 22.53, 22.53, 22.53, 22.53
12/31/24, 22.52, 22.52, 22.52, 22.52
12/30/24, 22.52, 22.52, 22.52, 22.52
12/27/24, 22.45, 22.45, 22.45, 22.45
12/26/24, 22.51, 22.51, 22.51, 22.51
12/24/24, 22.51, 22.51, 22.51, 22.51
12/23/24, 22.46, 22.46, 22.46, 22.46
12/20/24, 22.89, 22.89, 22.89, 22.89
12/19/24, 22.83, 22.83, 22.83, 22.83
12/18/24, 22.93, 22.93, 22.93, 22.93
12/17/24, 23.08, 23.08, 23.08, 23.08
12/16/24, 23.09, 23.09, 23.09, 23.09
12/13/24, 23.12, 23.12, 23.12, 23.12
12/12/24, 23.19, 23.19, 23.19, 23.19
12/11/24, 23.26, 23.26, 23.26, 23.26
12/10/24, 23.29, 23.29, 23.29, 23.29
12/09/24, 23.30, 23.30, 23.30, 23.30
12/06/24, 23.34, 23.34, 23.34, 23.34
12/05/24, 23.32, 23.32, 23.32, 23.32
12/04/24, 23.35, 23.35, 23.35, 23.35
12/03/24, 23.28, 23.28, 23.28, 23.28
12/02/24, 23.28, 23.28, 23.28, 23.28
11/29/24, 23.28, 23.28, 23.28, 23.28
11/27/24, 23.22, 23.22, 23.22, 23.22
11/26/24, 23.16, 23.16, 23.16, 23.16
11/25/24, 23.21, 23.21, 23.21, 23.21
11/22/24, 23.07, 23.07, 23.07, 23.07
11/21/24, 23.06, 23.06, 23.06, 23.06
11/20/24, 23.09, 23.09, 23.09, 23.09
11/19/24, 23.10, 23.10, 23.10, 23.10
11/18/24, 23.06, 23.06, 23.06, 23.06
11/15/24, 23.01, 23.01, 23.01, 23.01
11/14/24, 23.01, 23.01, 23.01, 23.01
11/13/24, 23.01, 23.01, 23.01, 23.01
11/12/24, 23.05, 23.05, 23.05, 23.05
11/11/24, 23.19, 23.19, 23.19, 23.19
11/08/24, 23.24, 23.24, 23.24, 23.24
11/07/24, 23.18, 23.18, 23.18, 23.18
11/06/24, 23.09, 23.09, 23.09, 23.09
11/05/24, 23.14, 23.14, 23.14, 23.14
11/04/24, 23.12, 23.12, 23.12, 23.12
11/01/24, 23.07, 23.07, 23.07, 23.07
10/31/24, 23.18, 23.18, 23.18, 23.18
10/30/24, 23.21, 23.21, 23.21, 23.21
10/29/24, 23.16, 23.16, 23.16, 23.16
10/28/24, 23.13, 23.13, 23.13, 23.13
10/25/24, 23.17, 23.17, 23.17, 23.17
10/24/24, 23.23, 23.23, 23.23, 23.23
10/23/24, 23.21, 23.21, 23.21, 23.21
10/22/24, 23.27, 23.27, 23.27, 23.27
10/21/24, 23.24, 23.24, 23.24, 23.24
10/18/24, 23.40, 23.40, 23.40, 23.40
10/17/24, 23.37, 23.37, 23.37, 23.37
10/16/24, 23.44, 23.44, 23.44, 23.44
10/15/24, 23.43, 23.43, 23.43, 23.43
10/14/24, 23.37, 23.37, 23.37, 23.37
10/11/24, 23.41, 23.41, 23.41, 23.41
10/10/24, 23.42, 23.42, 23.42, 23.42
10/09/24, 23.38, 23.38, 23.38, 23.38
10/08/24, 23.43, 23.43, 23.43, 23.43
10/07/24, 23.38, 23.38, 23.38, 23.38
10/04/24, 23.41, 23.41, 23.41, 23.41
10/03/24, 23.58, 23.58, 23.58, 23.58
10/02/24, 23.68, 23.68, 23.68, 23.68
10/01/24, 23.70, 23.70, 23.70, 23.70
09/30/24, 23.62, 23.62, 23.62, 23.62
09/27/24, 23.87, 23.87, 23.87, 23.87
09/26/24, 23.81, 23.81, 23.81, 23.81
09/25/24, 23.83, 23.83, 23.83, 23.83
09/24/24, 23.92, 23.92, 23.92, 23.92
09/23/24, 23.86, 23.86, 23.86, 23.86
09/20/24, 23.86, 23.86, 23.86, 23.86
09/19/24, 23.90, 23.90, 23.90, 23.90
09/18/24, 23.83, 23.83, 23.83, 23.83
09/17/24, 23.91, 23.91, 23.91, 23.91
09/16/24, 23.93, 23.93, 23.93, 23.93
09/13/24, 23.84, 23.84, 23.84, 23.84
09/12/24, 23.76, 23.76, 23.76, 23.76
09/11/24, 23.76, 23.76, 23.76, 23.76
09/10/24, 23.75, 23.75, 23.75, 23.75
09/09/24, 23.70, 23.70, 23.70, 23.70
09/06/24, 23.64, 23.64, 23.64, 23.64
09/05/24, 23.63, 23.63, 23.63, 23.63
09/04/24, 23.61, 23.61, 23.61, 23.61
09/03/24, 23.55, 23.55, 23.55, 23.55
08/30/24, 23.49, 23.49, 23.49, 23.49
08/29/24, 23.57, 23.57, 23.57, 23.57
08/28/24, 23.60, 23.60, 23.60, 23.60
08/27/24, 23.60, 23.60, 23.60, 23.60
08/26/24, 23.60, 23.60, 23.60, 23.60
08/23/24, 23.60, 23.60, 23.60, 23.60
08/22/24, 23.47, 23.47, 23.47, 23.47
08/21/24, 23.54, 23.54, 23.54, 23.54
08/20/24, 23.49, 23.49, 23.49, 23.49
08/19/24, 23.40, 23.40, 23.40, 23.40
08/16/24, 23.38, 23.38, 23.38, 23.38
08/15/24, 23.39, 23.39, 23.39, 23.39
08/14/24, 23.44, 23.44, 23.44, 23.44
08/13/24, 23.45, 23.45, 23.45, 23.45
08/12/24, 23.41, 23.41, 23.41, 23.41
08/09/24, 23.34, 23.34, 23.34, 23.34
08/08/24, 23.28, 23.28, 23.28, 23.28
08/07/24, 23.31, 23.31, 23.31, 23.31
08/06/24, 23.38, 23.38, 23.38, 23.38
08/05/24, 23.50, 23.50, 23.50, 23.50
08/02/24, 23.46, 23.46, 23.46, 23.46
08/01/24, 23.33, 23.33, 23.33, 23.33
07/31/24, 23.31, 23.31, 23.31, 23.31
07/30/24, 23.17, 23.17, 23.17, 23.17
07/29/24, 23.16, 23.16, 23.16, 23.16
07/26/24, 23.12, 23.12, 23.12, 23.12
07/25/24, 23.06, 23.06, 23.06, 23.06
07/24/24, 23.00, 23.00, 23.00, 23.00
07/23/24, 23.07, 23.07, 23.07, 23.07
07/22/24, 23.08, 23.08, 23.08, 23.08
07/19/24, 23.10, 23.10, 23.10, 23.10
07/18/24, 23.17, 23.17, 23.17, 23.17
07/17/24, 23.22, 23.22, 23.22, 23.22
07/16/24, 23.21, 23.21, 23.21, 23.21
07/15/24, 23.13, 23.13, 23.13, 23.13
07/12/24, 23.14, 23.14, 23.14, 23.14
07/11/24, 23.11, 23.11, 23.11, 23.11
07/10/24, 23.04, 23.04, 23.04, 23.04
07/09/24, 23.01, 23.01, 23.01, 23.01
07/08/24, 23.04, 23.04, 23.04, 23.04
07/05/24, 23.04, 23.04, 23.04, 23.04
07/03/24, 22.94, 22.94, 22.94, 22.94
07/02/24, 22.85, 22.85, 22.85, 22.85
07/01/24, 22.81, 22.81, 22.81, 22.81
06/28/24, 22.88, 22.88, 22.88, 22.88
06/27/24, 23.26, 23.26, 23.26, 23.26
06/26/24, 23.21, 23.21, 23.21, 23.21
06/25/24, 23.28, 23.28, 23.28, 23.28
06/24/24, 23.25, 23.25, 23.25, 23.25
06/21/24, 23.24, 23.24, 23.24, 23.24
06/20/24, 23.27, 23.27, 23.27, 23.27
06/18/24, 23.27, 23.27, 23.27, 23.27
06/17/24, 23.18, 23.18, 23.18, 23.18
06/14/24, 23.20, 23.20, 23.20, 23.20
06/13/24, 23.19, 23.19, 23.19, 23.19
06/12/24, 23.09, 23.09, 23.09, 23.09
06/11/24, 23.06, 23.06, 23.06, 23.06
06/10/24, 23.00, 23.00, 23.00, 23.00
06/07/24, 23.02, 23.02, 23.02, 23.02
06/06/24, 23.21, 23.21, 23.21, 23.21
06/05/24, 23.23, 23.23, 23.23, 23.23
06/04/24, 23.18, 23.18, 23.18, 23.18
06/03/24, 23.11, 23.11, 23.11, 23.11
05/31/24, 23.00, 23.00, 23.00, 23.00
05/30/24, 22.92, 22.92, 22.92, 22.92
05/29/24, 22.83, 22.83, 22.83, 22.83
05/28/24, 22.88, 22.88, 22.88, 22.88
05/24/24, 22.93, 22.93, 22.93, 22.93
05/23/24, 22.91, 22.91, 22.91, 22.91
05/22/24, 23.01, 23.01, 23.01, 23.01
05/21/24, 23.02, 23.02, 23.02, 23.02
05/20/24, 22.97, 22.97, 22.97, 22.97
05/17/24, 22.97, 22.97, 22.97, 22.97
05/16/24, 23.00, 23.00, 23.00, 23.00
05/15/24, 23.03, 23.03, 23.03, 23.03
05/14/24, 22.92, 22.92, 22.92, 22.92
05/13/24, 22.87, 22.87, 22.87, 22.87
