Date, Open, High, Low, Close
03/18/25, 9.62, 9.62, 9.62, 9.62
03/17/25, 9.61, 9.61, 9.61, 9.61
03/14/25, 9.61, 9.61, 9.61, 9.61
03/13/25, 9.63, 9.63, 9.63, 9.63
03/12/25, 9.61, 9.61, 9.61, 9.61
03/11/25, 9.63, 9.63, 9.63, 9.63
03/10/25, 9.66, 9.66, 9.66, 9.66
03/07/25, 9.62, 9.62, 9.62, 9.62
03/06/25, 9.63, 9.63, 9.63, 9.63
03/05/25, 9.64, 9.64, 9.64, 9.64
03/04/25, 9.67, 9.67, 9.67, 9.67
03/03/25, 9.70, 9.70, 9.70, 9.70
02/28/25, 9.68, 9.68, 9.68, 9.68
02/27/25, 9.65, 9.65, 9.65, 9.65
02/26/25, 9.66, 9.66, 9.66, 9.66
02/25/25, 9.64, 9.64, 9.64, 9.64
02/24/25, 9.58, 9.58, 9.58, 9.58
02/21/25, 9.57, 9.57, 9.57, 9.57
02/20/25, 9.53, 9.53, 9.53, 9.53
02/19/25, 9.52, 9.52, 9.52, 9.52
02/18/25, 9.51, 9.51, 9.51, 9.51
02/14/25, 9.55, 9.55, 9.55, 9.55
02/13/25, 9.52, 9.52, 9.52, 9.52
02/12/25, 9.46, 9.46, 9.46, 9.46
02/11/25, 9.51, 9.51, 9.51, 9.51
02/10/25, 9.53, 9.53, 9.53, 9.53
02/07/25, 9.53, 9.53, 9.53, 9.53
02/06/25, 9.56, 9.56, 9.56, 9.56
02/05/25, 9.57, 9.57, 9.57, 9.57
02/04/25, 9.52, 9.52, 9.52, 9.52
02/03/25, 9.51, 9.51, 9.51, 9.51
01/31/25, 9.51, 9.51, 9.51, 9.51
01/30/25, 9.52, 9.52, 9.52, 9.52
01/29/25, 9.51, 9.51, 9.51, 9.51
01/28/25, 9.52, 9.52, 9.52, 9.52
01/27/25, 9.52, 9.52, 9.52, 9.52
01/24/25, 9.47, 9.47, 9.47, 9.47
01/23/25, 9.46, 9.46, 9.46, 9.46
01/22/25, 9.48, 9.48, 9.48, 9.48
01/21/25, 9.49, 9.49, 9.49, 9.49
01/17/25, 9.47, 9.47, 9.47, 9.47
01/16/25, 9.47, 9.47, 9.47, 9.47
01/15/25, 9.45, 9.45, 9.45, 9.45
01/14/25, 9.37, 9.37, 9.37, 9.37
01/13/25, 9.37, 9.37, 9.37, 9.37
01/10/25, 9.38, 9.38, 9.38, 9.38
01/08/25, 9.44, 9.44, 9.44, 9.44
01/07/25, 9.43, 9.43, 9.43, 9.43
01/06/25, 9.46, 9.46, 9.46, 9.46
01/03/25, 9.47, 9.47, 9.47, 9.47
01/02/25, 9.49, 9.49, 9.49, 9.49
12/31/24, 9.48, 9.48, 9.48, 9.48
12/30/24, 9.50, 9.50, 9.50, 9.50
12/27/24, 9.46, 9.46, 9.46, 9.46
12/26/24, 9.48, 9.48, 9.48, 9.48
12/24/24, 9.48, 9.48, 9.48, 9.48
12/23/24, 9.47, 9.47, 9.47, 9.47
12/20/24, 9.50, 9.50, 9.50, 9.50
12/19/24, 9.48, 9.48, 9.48, 9.48
12/18/24, 9.51, 9.51, 9.51, 9.51
12/17/24, 9.58, 9.58, 9.58, 9.58
12/16/24, 9.58, 9.58, 9.58, 9.58
12/13/24, 9.57, 9.57, 9.57, 9.57
12/12/24, 9.61, 9.61, 9.61, 9.61
12/11/24, 9.65, 9.65, 9.65, 9.65
12/10/24, 9.67, 9.67, 9.67, 9.67
12/09/24, 9.68, 9.68, 9.68, 9.68
12/06/24, 9.71, 9.71, 9.71, 9.71
