Date, Open, High, Low, Close
03/18/25, 34.50, 34.50, 34.50, 34.50
03/17/25, 34.50, 34.50, 34.50, 34.50
03/14/25, 34.08, 34.08, 34.08, 34.08
03/13/25, 33.48, 33.48, 33.48, 33.48
03/12/25, 33.72, 33.72, 33.72, 33.72
03/11/25, 33.50, 33.50, 33.50, 33.50
03/10/25, 33.51, 33.51, 33.51, 33.51
03/07/25, 34.29, 34.29, 34.29, 34.29
03/06/25, 34.02, 34.02, 34.02, 34.02
03/05/25, 34.27, 34.27, 34.27, 34.27
03/04/25, 33.42, 33.42, 33.42, 33.42
03/03/25, 33.36, 33.36, 33.36, 33.36
02/28/25, 33.35, 33.35, 33.35, 33.35
02/27/25, 33.43, 33.43, 33.43, 33.43
02/26/25, 33.86, 33.86, 33.86, 33.86
02/25/25, 33.73, 33.73, 33.73, 33.73
02/24/25, 33.55, 33.55, 33.55, 33.55
02/21/25, 33.71, 33.71, 33.71, 33.71
02/20/25, 33.90, 33.90, 33.90, 33.90
02/19/25, 33.75, 33.75, 33.75, 33.75
02/18/25, 33.97, 33.97, 33.97, 33.97
02/14/25, 33.73, 33.73, 33.73, 33.73
02/13/25, 33.69, 33.69, 33.69, 33.69
02/12/25, 33.30, 33.30, 33.30, 33.30
02/11/25, 33.25, 33.25, 33.25, 33.25
02/10/25, 33.18, 33.18, 33.18, 33.18
02/07/25, 32.99, 32.99, 32.99, 32.99
02/06/25, 33.16, 33.16, 33.16, 33.16
02/05/25, 33.03, 33.03, 33.03, 33.03
02/04/25, 32.80, 32.80, 32.80, 32.80
02/03/25, 32.40, 32.40, 32.40, 32.40
01/31/25, 32.75, 32.75, 32.75, 32.75
01/30/25, 33.02, 33.02, 33.02, 33.02
01/29/25, 32.66, 32.66, 32.66, 32.66
01/28/25, 32.65, 32.65, 32.65, 32.65
01/27/25, 32.59, 32.59, 32.59, 32.59
01/24/25, 32.79, 32.79, 32.79, 32.79
01/23/25, 32.61, 32.61, 32.61, 32.61
01/22/25, 32.46, 32.46, 32.46, 32.46
01/21/25, 32.48, 32.48, 32.48, 32.48
01/17/25, 31.97, 31.97, 31.97, 31.97
01/16/25, 31.83, 31.83, 31.83, 31.83
01/15/25, 31.70, 31.70, 31.70, 31.70
01/14/25, 31.35, 31.35, 31.35, 31.35
01/13/25, 31.12, 31.12, 31.12, 31.12
01/10/25, 31.30, 31.30, 31.30, 31.30
01/08/25, 31.83, 31.83, 31.83, 31.83
01/07/25, 31.90, 31.90, 31.90, 31.90
01/06/25, 31.99, 31.99, 31.99, 31.99
01/03/25, 31.80, 31.80, 31.80, 31.80
01/02/25, 31.63, 31.63, 31.63, 31.63
12/31/24, 31.69, 31.69, 31.69, 31.69
12/30/24, 31.73, 31.73, 31.73, 31.73
12/27/24, 31.89, 31.89, 31.89, 31.89
12/26/24, 31.92, 31.92, 31.92, 31.92
12/24/24, 31.88, 31.88, 31.88, 31.88
12/23/24, 31.82, 31.82, 31.82, 31.82
12/20/24, 31.62, 31.62, 31.62, 31.62
12/19/24, 32.14, 32.14, 32.14, 32.14
12/18/24, 32.22, 32.22, 32.22, 32.22
12/17/24, 32.89, 32.89, 32.89, 32.89
12/16/24, 33.06, 33.06, 33.06, 33.06
12/13/24, 33.17, 33.17, 33.17, 33.17
12/12/24, 33.24, 33.24, 33.24, 33.24
12/11/24, 33.51, 33.51, 33.51, 33.51
12/10/24, 33.33, 33.33, 33.33, 33.33
12/09/24, 33.62, 33.62, 33.62, 33.62
12/06/24, 33.52, 33.52, 33.52, 33.52
12/05/24, 33.54, 33.54, 33.54, 33.54
12/04/24, 33.40, 33.40, 33.40, 33.40
12/03/24, 33.37, 33.37, 33.37, 33.37
12/02/24, 33.20, 33.20, 33.20, 33.20
11/29/24, 33.08, 33.08, 33.08, 33.08
11/27/24, 32.77, 32.77, 32.77, 32.77
11/26/24, 32.66, 32.66, 32.66, 32.66
11/25/24, 32.83, 32.83, 32.83, 32.83
11/22/24, 32.70, 32.70, 32.70, 32.70
11/21/24, 32.63, 32.63, 32.63, 32.63
11/20/24, 32.60, 32.60, 32.60, 32.60
11/19/24, 32.70, 32.70, 32.70, 32.70
11/18/24, 32.68, 32.68, 32.68, 32.68
11/15/24, 32.41, 32.41, 32.41, 32.41
11/14/24, 32.57, 32.57, 32.57, 32.57
11/13/24, 32.59, 32.59, 32.59, 32.59
11/12/24, 32.82, 32.82, 32.82, 32.82
11/11/24, 33.35, 33.35, 33.35, 33.35
11/08/24, 33.41, 33.41, 33.41, 33.41
11/07/24, 33.86, 33.86, 33.86, 33.86
11/06/24, 33.38, 33.38, 33.38, 33.38
11/05/24, 33.72, 33.72, 33.72, 33.72
11/04/24, 33.34, 33.34, 33.34, 33.34
11/01/24, 33.27, 33.27, 33.27, 33.27
10/31/24, 33.16, 33.16, 33.16, 33.16
10/30/24, 33.43, 33.43, 33.43, 33.43
10/29/24, 33.63, 33.63, 33.63, 33.63
10/28/24, 33.70, 33.70, 33.70, 33.70
10/25/24, 33.51, 33.51, 33.51, 33.51
10/24/24, 33.59, 33.59, 33.59, 33.59
10/23/24, 33.54, 33.54, 33.54, 33.54
10/22/24, 33.81, 33.81, 33.81, 33.81
10/21/24, 34.00, 34.00, 34.00, 34.00
10/18/24, 34.30, 34.30, 34.30, 34.30
10/17/24, 34.04, 34.04, 34.04, 34.04
10/16/24, 34.08, 34.08, 34.08, 34.08
10/15/24, 33.91, 33.91, 33.91, 33.91
10/14/24, 34.49, 34.49, 34.49, 34.49
10/11/24, 34.44, 34.44, 34.44, 34.44
10/10/24, 34.28, 34.28, 34.28, 34.28
10/09/24, 34.30, 34.30, 34.30, 34.30
10/08/24, 34.35, 34.35, 34.35, 34.35
10/07/24, 34.60, 34.60, 34.60, 34.60
10/04/24, 34.72, 34.72, 34.72, 34.72
10/03/24, 34.48, 34.48, 34.48, 34.48
10/02/24, 34.82, 34.82, 34.82, 34.82
10/01/24, 34.73, 34.73, 34.73, 34.73
09/30/24, 34.81, 34.81, 34.81, 34.81
09/27/24, 34.90, 34.90, 34.90, 34.90
09/26/24, 35.08, 35.08, 35.08, 35.08
09/25/24, 34.25, 34.25, 34.25, 34.25
09/24/24, 34.43, 34.43, 34.43, 34.43
09/23/24, 34.04, 34.04, 34.04, 34.04
09/20/24, 33.89, 33.89, 33.89, 33.89
09/19/24, 34.28, 34.28, 34.28, 34.28
09/18/24, 33.59, 33.59, 33.59, 33.59
09/17/24, 33.71, 33.71, 33.71, 33.71
09/16/24, 33.78, 33.78, 33.78, 33.78
09/13/24, 33.59, 33.59, 33.59, 33.59
