Date, Open, High, Low, Close
03/18/25, 134.45, 134.45, 134.45, 134.45
03/17/25, 135.90, 135.90, 135.90, 135.90
03/14/25, 134.88, 134.88, 134.88, 134.88
03/13/25, 131.95, 131.95, 131.95, 131.95
03/12/25, 133.91, 133.91, 133.91, 133.91
03/11/25, 133.29, 133.29, 133.29, 133.29
03/10/25, 134.15, 134.15, 134.15, 134.15
03/07/25, 137.97, 137.97, 137.97, 137.97
03/06/25, 137.24, 137.24, 137.24, 137.24
03/05/25, 139.88, 139.88, 139.88, 139.88
03/04/25, 138.29, 138.29, 138.29, 138.29
03/03/25, 139.99, 139.99, 139.99, 139.99
02/28/25, 142.61, 142.61, 142.61, 142.61
02/27/25, 140.42, 140.42, 140.42, 140.42
02/26/25, 142.63, 142.63, 142.63, 142.63
02/25/25, 142.57, 142.57, 142.57, 142.57
02/24/25, 143.29, 143.29, 143.29, 143.29
02/21/25, 144.03, 144.03, 144.03, 144.03
02/20/25, 146.76, 146.76, 146.76, 146.76
02/19/25, 147.54, 147.54, 147.54, 147.54
02/18/25, 147.36, 147.36, 147.36, 147.36
02/14/25, 146.95, 146.95, 146.95, 146.95
02/13/25, 146.94, 146.94, 146.94, 146.94
02/12/25, 145.42, 145.42, 145.42, 145.42
02/11/25, 145.86, 145.86, 145.86, 145.86
02/10/25, 145.97, 145.97, 145.97, 145.97
02/07/25, 145.03, 145.03, 145.03, 145.03
02/06/25, 146.41, 146.41, 146.41, 146.41
02/05/25, 145.98, 145.98, 145.98, 145.98
02/04/25, 145.32, 145.32, 145.32, 145.32
02/03/25, 144.26, 144.26, 144.26, 144.26
01/31/25, 145.39, 145.39, 145.39, 145.39
01/30/25, 146.13, 146.13, 146.13, 146.13
01/29/25, 145.25, 145.25, 145.25, 145.25
01/28/25, 145.88, 145.88, 145.88, 145.88
01/27/25, 144.60, 144.60, 144.60, 144.60
01/24/25, 146.70, 146.70, 146.70, 146.70
01/23/25, 147.07, 147.07, 147.07, 147.07
01/22/25, 146.32, 146.32, 146.32, 146.32
01/21/25, 145.60, 145.60, 145.60, 145.60
01/17/25, 144.19, 144.19, 144.19, 144.19
01/16/25, 142.84, 142.84, 142.84, 142.84
01/15/25, 142.98, 142.98, 142.98, 142.98
01/14/25, 140.41, 140.41, 140.41, 140.41
01/13/25, 140.09, 140.09, 140.09, 140.09
01/10/25, 139.84, 139.84, 139.84, 139.84
01/08/25, 142.02, 142.02, 142.02, 142.02
01/07/25, 141.84, 141.84, 141.84, 141.84
01/06/25, 143.42, 143.42, 143.42, 143.42
01/03/25, 142.66, 142.66, 142.66, 142.66
01/02/25, 140.80, 140.80, 140.80, 140.80
12/31/24, 141.03, 141.03, 141.03, 141.03
12/30/24, 141.57, 141.57, 141.57, 141.57
12/27/24, 143.08, 143.08, 143.08, 143.08
12/26/24, 144.71, 144.71, 144.71, 144.71
12/24/24, 144.66, 144.66, 144.66, 144.66
12/23/24, 143.11, 143.11, 143.11, 143.11
12/20/24, 142.69, 142.69, 142.69, 142.69
12/19/24, 141.12, 141.12, 141.12, 141.12
12/18/24, 141.29, 141.29, 141.29, 141.29
12/17/24, 145.87, 145.87, 145.87, 145.87
12/16/24, 146.59, 146.59, 146.59, 146.59
